data,headline,main_headline,project,server,spider,url
,Home - SuperDataScience - Big Data | Analytics Careers | Mentors | Success,"SUBSCRIBERS,VIDEOS ONLINE,HOURS OF CONTENT,Systems Engineer,Data Analyst,Media Analyst,Data Analyst,Copyright 2018 Super Data Science",Example,,secondspider,https://www.superdatascience.com
directors,popularity,stars,title,writers
,"1,032",,Rear Window,
,549,,The Intouchables,
,559,,Raiders of the Lost Ark,
,"1,047",,Casablanca,
,"1,018",,Once Upon a Time in the West,
,,,City Lights,
,580,,American History X,
,278,,Psycho,
,"4,372",,Modern Times,
,142,,Interstellar,
,209,,The Green Mile,
,364,,Léon: The Professional,
,481,,The Usual Suspects,
,853,,Life Is Beautiful,
,"1,208",,It's a Wonderful Life,
,450,,Saving Private Ryan,
,632,,Spirited Away,
,240,,The Silence of the Lambs,
,274,,Se7en,
,714,,City of God,
,"1,383",,Seven Samurai,
,425,,Star Wars: Episode IV - A New Hope,
,307,,The Matrix,
,190,,Goodfellas,
